X,Y,Z
0,0,48
67,0,48
67,0,48
69,0,48
71,0,48
72,0,48
74,0,60
76,0,60
77,0,60
79,0,60
77,0,59
79,0,59
81,0,55
77,0,55
81,0,57
79,0,57
77,0,59
77,60,59
77,60,59
77,62,59
77,64,60
77,65,60
77,67,59
77,69,59
77,71,59
77,72,59
77,71,57
77,72,57
76,74,55
76,72,55
76,76,57
76,74,57
78,72,50
78,72,43
79,71,55
79,71,57
77,71,59
77,71,60
77,74,62
77,74,64
76,74,65
76,74,67
74,74,65
76,74,67
77,72,69
77,72,65
77,72,69
77,72,67
77,72,65
77,72,64
74,72,65
79,72,64
77,71,62
77,74,60
77,74,59
77,72,57
77,71,55
77,71,53
76,71,55
76,71,53
76,71,52
76,71,53
76,69,50
76,69,52
76,69,53
76,69,52
76,67,43
76,67,45
76,65,47
76,65,48
74,65,50
74,65,52
74,64,53
74,64,55
72,64,53
71,64,55
69,64,57
71,64,53
72,64,57
74,64,55
71,64,53
71,62,53
71,65,53
71,64,53
71,62,53
67,60,53
72,59,53
74,57,53
76,55,53
69,53,53
71,55,53
69,53,53
71,52,52
71,53,52
71,50,52
71,52,52
69,52,52
71,53,50
71,53,48
72,53,50
73,53,48
67,52,47
67,52,45
67,64,43
67,64,42
67,64,40
67,64,38
72,64,52
71,64,50
69,66,48
69,72,47
69,72,45
69,71,43
69,69,42
74,69,40
71,69,53
72,69,52
74,69,50
74,67,48
74,67,47
74,72,45
74,71,43
74,71,42
76,71,38
76,71,40
76,72,42
76,72,43
81,72,45
81,72,47
81,71,48
81,71,50
79,71,48
78,71,50
76,71,52
78,71,48
79,71,52
81,71,50
78,71,48
78,69,48
78,72,48
78,71,48
78,69,47
74,67,47
79,66,47
81,64,47
83,62,59
76,60,59
78,62,59
76,60,59
78,59,59
78,60,59
78,57,59
78,59,59
76,59,59
78,60,57
79,60,57
81,60,52
79,60,52
78,60,50
76,59,50
74,59,50
72,57,50
71,55,48
69,55,50
71,54,55
69,54,54
67,54,52
69,54,50
66,54,48
67,54,47
69,54,45
69,62,43
69,62,45
69,64,43
69,65,41
71,65,43
67,65,40
69,65,41
70,65,43
69,64,43
64,64,37
65,64,37
67,64,50
69,64,50
71,64,49
73,64,49
74,64,47
76,64,47
74,57,45
76,57,45
77,57,55
76,57,55
82,59,53
81,59,53
79,61,52
77,62,52
79,64,50
77,64,50
76,65,50
74,67,50
73,69,50
74,71,50
76,73,50
76,74,67
76,73,67
76,74,65
77,76,64
77,72,62
77,75,60
77,74,58
78,72,57
78,70,55
78,69,48
78,70,50
79,72,52
79,69,53
79,72,55
79,70,57
79,69,58
79,69,60
77,69,58
76,69,60
74,69,62
74,69,58
74,67,62
74,67,60
74,67,58
74,67,57
76,67,55
76,67,57
76,65,59
76,65,60
74,64,62
74,64,64
74,64,65
74,64,67
72,64,65
71,64,67
69,64,69
69,64,65
71,64,69
71,64,67
74,64,65
74,65,65
74,65,65
74,67,65
74,69,64
79,71,64
81,72,64
77,74,64
79,76,64
79,77,72
79,76,72
79,77,71
81,79,69
81,77,67
81,81,65
81,79,64
83,77,62
83,77,60
83,76,62
83,76,60
84,76,58
84,76,60
84,81,57
84,81,58
82,81,60
82,79,53
82,72,55
82,74,53
82,76,52
81,76,50
76,76,48
74,76,47
72,77,45
71,77,43
74,77,57
76,77,55
77,77,53
77,77,52
77,77,50
77,76,48
77,74,46
79,72,45
79,74,58
79,72,57
79,70,55
79,70,53
72,70,52
77,70,50
76,70,48
76,70,47
76,69,43
76,69,45
77,69,47
77,69,48
77,74,50
77,74,52
76,74,53
76,74,55
76,72,53
76,71,55
76,69,57
76,71,53
76,72,57
76,74,55
76,71,53
74,71,53
77,71,52
76,71,53
74,67,55
74,70,55
74,70,57
74,69,57
74,67,48
74,65,48
74,67,50
74,65,52
72,64,53
72,65,53
72,62,55
72,64,55
71,65,43
72,64,48
