X,Y,Z
0,0,55
0,0,55
74,0,55
74,0,55
74,0,55
74,0,55
70,0,55
70,0,55
67,0,55
67,0,55
67,0,55
67,0,55
79,0,51
79,0,51
79,0,51
79,69,51
79,69,51
79,69,51
79,69,51
79,65,51
79,65,50
79,62,50
79,62,50
79,62,50
77,62,58
77,62,58
77,62,58
77,62,58
77,62,58
77,62,58
77,62,58
77,74,58
77,74,55
77,70,55
77,70,55
77,70,55
75,70,57
75,70,57
75,70,58
75,70,58
75,70,62
75,70,62
75,70,58
75,72,58
75,72,55
75,69,55
75,69,55
75,69,55
74,69,67
74,70,67
74,70,67
74,70,67
74,70,67
74,70,67
74,70,67
74,70,67
72,70,64
72,70,64
72,70,64
72,70,64
74,70,66
74,70,66
74,70,66
74,69,66
74,69,66
74,66,66
70,66,66
70,66,66
67,66,67
67,66,67
67,66,67
67,66,67
75,66,60
75,66,60
75,66,60
75,66,60
75,66,60
75,66,60
69,66,60
69,66,60
70,66,62
70,67,62
70,67,62
70,67,62
72,67,50
72,66,50
72,66,55
72,66,55
72,66,50
72,66,50
72,66,46
72,66,46
72,66,43
72,66,43
72,66,43
72,66,43
70,66,55
70,67,55
70,67,55
70,62,55
70,62,55
70,62,55
70,62,55
70,59,55
70,59,55
70,55,55
71,55,55
69,55,55
71,55,53
71,55,53
71,55,51
71,55,51
71,55,55
71,55,55
72,55,51
72,55,51
74,55,48
74,55,48
74,55,48
74,55,48
74,55,48
74,67,48
75,67,48
75,67,48
74,67,48
74,67,48
71,67,48
71,67,48
67,67,60
67,65,60
67,65,60
67,65,60
77,65,59
77,62,59
77,62,59
77,67,59
77,67,59
77,67,59
77,67,59
77,63,59
77,63,60
77,60,60
77,60,60
77,60,60
77,60,60
77,70,60
75,70,60
75,70,60
75,70,60
75,70,60
75,70,57
75,70,57
74,70,53
74,70,53
74,70,53
74,70,53
74,70,63
74,69,63
72,69,63
72,69,63
77,69,62
77,69,62
74,69,67
74,65,67
70,65,67
70,65,67
70,65,67
70,65,67
82,65,63
82,65,63
82,65,63
82,65,63
82,65,63
82,65,63
74,65,63
74,65,63
75,65,65
75,70,65
75,70,65
75,70,65
72,70,53
72,69,53
72,69,58
72,69,58
72,69,53
72,69,53
72,69,50
72,69,50
72,69,46
72,69,46
72,69,46
72,69,46
70,69,57
70,70,57
70,70,57
70,62,57
70,62,57
70,62,57
70,62,57
70,58,57
70,58,57
70,55,57
70,55,57
70,55,57
70,55,55
70,65,55
82,65,55
82,65,55
79,65,60
79,65,60
75,65,60
75,65,60
72,65,58
72,65,58
72,65,58
72,65,58
82,65,60
82,65,60
82,65,60
82,63,60
82,63,60
82,63,60
82,63,60
82,60,60
82,60,53
82,57,53
82,57,53
82,57,53
82,57,53
82,65,53
81,65,53
81,65,53
77,65,58
77,65,58
74,65,58
74,65,58
