X,Y,Z
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
71,0,0
71,0,0
71,0,0
71,0,0
71,0,0
71,0,0
71,0,0
71,0,0
72,0,0
72,0,0
72,0,0
72,0,0
74,0,0
74,0,0
74,0,0
74,0,0
72,0,0
72,0,0
72,0,0
72,0,0
72,0,0
72,0,0
72,0,0
72,0,0
71,0,77
71,0,77
69,0,77
69,0,77
71,0,77
71,0,77
72,0,77
72,0,77
74,0,75
74,0,75
76,0,74
76,0,74
78,64,72
78,64,72
79,64,72
79,64,72
78,64,70
78,64,70
79,64,70
79,64,70
81,64,74
81,64,74
83,64,69
83,64,69
84,66,70
84,66,70
83,66,70
83,66,70
81,66,72
81,66,72
79,66,65
79,66,65
78,67,77
78,67,77
76,67,74
76,67,74
75,69,70
75,69,70
76,69,70
76,69,70
78,67,75
78,67,75
78,67,75
78,67,75
78,67,75
78,67,75
75,67,79
75,67,79
76,66,75
76,66,75
76,64,72
76,64,72
76,66,69
76,66,69
76,67,69
76,67,69
76,69,72
76,69,72
76,71,72
76,71,72
76,73,77
76,73,77
79,73,77
79,73,77
82,73,77
82,73,77
81,73,77
81,73,77
79,73,74
79,73,74
77,73,74
77,73,74
76,74,74
76,74,74
76,74,74
76,74,74
76,76,76
76,76,76
76,74,76
76,74,76
76,72,77
76,72,77
76,71,77
76,71,77
76,69,77
76,69,77
77,69,77
77,69,77
76,69,70
76,69,70
76,69,70
76,69,70
74,69,70
74,69,70
72,69,70
72,69,70
71,68,69
71,68,69
72,69,69
72,69,69
74,65,69
74,65,69
72,64,69
72,64,69
71,62,67
71,62,67
69,60,67
69,60,67
68,59,67
68,59,67
68,60,67
68,60,67
68,59,65
68,59,65
68,60,65
68,60,65
68,62,65
68,62,65
68,64,65
68,64,65
68,65,63
68,65,63
68,64,63
68,64,63
68,62,63
68,62,63
69,60,62
69,60,62
71,59,67
71,59,67
72,57,63
72,57,63
74,56,60
74,56,60
76,57,60
76,57,60
77,59,69
77,59,69
76,59,69
76,59,69
74,59,69
74,59,69
72,59,72
72,59,72
71,56,65
71,56,65
71,56,70
71,56,70
71,57,74
71,57,74
71,57,74
71,57,74
71,64,72
71,64,72
71,64,72
71,64,72
72,64,72
72,64,72
72,64,72
72,64,72
72,69,75
72,69,75
72,69,75
72,69,75
72,62,75
72,62,75
72,62,75
72,62,75
71,62,74
71,62,74
69,62,74
69,62,74
67,67,72
67,67,72
69,65,72
69,65,72
71,67,74
71,67,74
72,69,74
72,69,74
74,71,74
74,71,74
76,71,74
76,71,74
77,72,74
77,72,74
79,64,74
79,64,74
81,65,74
81,65,74
83,67,74
83,67,74
84,69,79
84,69,79
77,69,79
77,69,79
81,71,79
81,71,79
79,71,79
79,71,79
77,69,79
77,69,79
76,69,77
76,69,77
74,71,75
74,71,75
74,71,75
74,71,75
76,72,74
76,72,74
76,72,74
76,72,74
72,64,77
72,64,77
72,64,71
72,64,71
74,65,72
74,65,72
74,65,72
74,65,72
74,65,74
74,65,74
