X,Y,Z
71,0,47
71,0,47
71,0,47
71,0,47
66,0,47
66,0,47
67,0,47
67,0,47
67,0,59
67,0,59
66,0,59
66,0,59
71,0,61
71,0,61
71,0,62
71,0,62
66,0,61
66,0,61
66,0,59
66,0,59
73,0,59
73,0,59
66,0,59
66,0,59
66,0,59
66,0,59
67,0,58
67,0,58
66,0,59
66,0,59
66,0,61
66,0,61
73,0,59
73,0,59
66,0,61
66,0,61
66,0,58
74,0,58
71,0,58
74,0,58
78,0,58
83,0,58
78,0,59
74,0,59
78,0,59
74,0,59
71,0,59
74,0,59
71,0,59
66,0,59
71,0,59
66,0,59
62,0,59
66,0,59
62,0,59
62,0,59
59,0,59
59,0,59
59,0,54
59,0,54
59,0,54
59,0,54
71,0,55
71,0,55
71,0,54
71,0,54
73,0,59
73,0,59
74,0,59
74,0,59
73,0,54
73,0,54
71,0,61
71,0,61
71,0,61
71,0,61
71,0,54
71,0,54
71,0,54
71,0,54
70,0,55
70,0,55
71,0,54
71,0,54
73,0,61
73,0,61
71,0,61
71,0,61
73,0,54
73,0,54
70,0,62
71,0,62
66,0,59
71,0,62
74,0,66
78,0,71
74,0,66
71,0,62
74,0,66
71,0,62
66,0,59
71,0,62
66,0,59
62,0,54
66,0,59
62,0,54
59,0,50
62,0,54
59,71,50
59,71,50
59,71,50
59,71,50
59,66,50
59,66,50
59,66,47
59,66,47
59,67,59
59,67,59
59,66,59
59,66,59
59,66,61
59,66,61
59,71,62
59,71,62
59,66,61
59,66,61
59,66,59
59,66,59
74,66,59
74,66,59
71,66,59
71,66,59
71,66,64
71,66,64
73,66,52
73,66,52
71,66,52
71,66,52
71,66,54
71,66,54
76,66,56
76,66,56
71,66,54
71,66,54
73,68,52
73,68,52
73,69,52
73,69,52
73,64,52
73,64,52
73,64,57
73,64,57
73,66,45
73,66,45
73,64,45
73,64,45
73,64,47
73,64,47
73,69,49
73,69,49
73,64,47
73,64,47
73,64,45
73,64,45
73,64,45
73,64,45
69,64,45
69,64,45
69,64,50
69,64,50
71,64,38
71,64,38
69,64,38
69,64,38
69,64,40
69,64,40
74,64,42
74,64,42
69,64,40
69,64,40
71,66,38
71,66,38
74,67,38
71,67,38
67,67,38
71,67,38
67,67,43
67,67,55
67,67,59
67,67,55
67,67,52
67,67,55
64,67,52
76,67,49
79,67,52
76,67,49
73,67,45
76,67,49
73,67,45
69,67,45
73,67,45
69,67,45
66,67,45
69,67,45
66,67,42
66,67,54
66,67,57
66,67,54
66,67,50
66,67,54
62,67,50
74,67,47
78,67,50
74,67,47
71,67,43
74,67,47
71,67,43
67,67,43
71,67,43
67,67,43
64,67,43
67,67,43
64,67,40
61,67,52
64,67,55
61,67,52
57,67,49
61,67,52
57,67,49
57,67,45
69,67,49
69,67,45
66,67,42
66,67,45
67,62,42
67,62,42
67,62,42
67,62,42
67,57,42
67,57,42
66,57,38
66,57,38
66,59,38
66,59,38
66,57,38
66,57,38
66,57,40
66,57,40
66,62,42
66,62,42
66,57,40
66,57,40
66,64,38
66,64,38
66,64,38
66,64,38
66,57,37
66,57,37
66,59,37
66,59,37
66,59,45
66,59,45
66,57,45
66,57,45
66,64,47
66,64,47
66,64,49
66,64,49
66,57,47
66,57,47
66,57,45
66,66,45
66,62,45
66,66,45
66,69,45
66,74,45
66,69,45
66,68,45
66,71,50
66,68,50
66,64,52
66,68,52
66,64,54
66,59,54
66,64,52
66,59,52
66,56,54
66,59,54
69,56,50
69,56,50
69,56,50
69,56,50
64,56,50
64,56,50
64,52,49
64,52,49
66,57,49
66,57,49
64,57,49
64,57,49
64,59,49
64,59,49
69,61,49
69,61,49
64,59,49
64,59,49
71,57,52
71,57,52
71,57,52
71,57,52
64,57,52
64,57,52
64,57,52
64,57,52
66,56,52
66,56,52
64,57,52
64,57,52
64,59,52
64,59,52
71,57,52
71,57,52
64,59,52
64,59,52
73,56,45
73,56,45
69,56,45
73,56,45
76,56,45
81,56,45
78,56,45
75,56,45
78,57,45
75,57,45
71,59,45
75,59,45
71,60,45
66,60,45
71,59,45
66,59,45
63,60,45
66,60,45
63,57,54
63,57,54
63,64,54
63,64,54
63,59,54
63,59,54
64,59,55
64,59,55
64,60,52
64,60,52
64,59,52
64,59,52
67,59,54
67,59,54
67,64,55
67,64,55
67,59,54
67,59,54
67,59,52
67,59,52
67,59,52
67,59,52
64,59,52
64,59,52
64,59,57
64,59,57
66,59,45
66,59,45
64,59,45
64,59,45
64,59,47
64,59,47
69,59,49
69,59,49
64,59,47
64,59,47
66,59,45
66,59,45
66,61,45
66,61,45
66,57,45
66,57,45
66,57,50
66,57,50
66,59,50
66,59,50
66,57,50
66,57,50
66,57,52
66,57,52
66,62,54
66,62,54
66,57,52
66,57,52
66,57,50
66,57,50
66,57,50
66,57,50
62,57,50
62,57,50
62,57,55
62,57,55
64,57,55
64,57,55
62,57,55
62,57,55
62,57,54
62,57,54
67,57,52
67,57,52
62,57,54
62,57,54
64,57,55
64,57,55
64,59,49
64,59,49
64,56,49
64,56,49
64,56,49
64,56,49
64,57,49
64,57,49
64,56,49
64,56,49
64,56,47
64,56,47
64,61,46
64,61,46
64,56,47
64,56,47
64,56,49
64,56,49
64,56,49
64,56,49
61,56,49
61,56,49
61,56,42
