X,Y,Z
0,0,62
0,0,62
78,0,62
78,0,62
79,0,62
79,0,62
81,0,54
81,0,54
72,0,54
72,0,54
71,0,54
76,0,54
78,0,55
78,0,55
79,0,52
79,0,52
71,0,52
71,0,52
69,0,52
74,0,52
76,0,54
76,0,54
78,0,50
78,0,50
69,0,50
67,0,50
78,0,59
76,0,59
74,0,55
73,0,55
83,0,57
81,0,57
79,0,45
78,0,45
76,0,50
74,0,50
76,0,62
78,0,62
76,0,61
78,0,62
80,0,59
80,0,57
80,73,56
80,73,57
81,74,59
81,74,61
76,76,62
76,76,61
76,67,59
76,67,58
76,66,54
76,71,56
76,73,58
76,73,58
76,74,61
76,74,59
76,66,57
76,66,56
76,64,52
76,69,54
74,71,56
74,71,57
74,73,59
74,73,57
73,64,55
73,62,55
76,73,54
74,71,54
73,69,50
73,68,50
71,78,52
71,76,52
80,74,40
80,73,45
80,71,47
80,69,49
80,71,50
80,73,52
80,69,54
80,71,55
80,73,52
81,73,54
73,73,52
74,73,54
76,74,55
78,74,55
79,74,57
78,74,57
76,74,48
75,74,48
71,74,47
73,74,52
75,69,54
76,69,54
78,69,55
76,69,55
74,69,47
73,69,47
69,69,45
71,69,50
73,67,52
74,67,52
76,67,54
74,67,54
73,67,45
73,66,43
73,69,54
73,67,52
71,66,50
71,64,49
71,74,59
71,73,57
76,71,55
76,69,54
76,67,52
76,66,50
69,67,52
69,69,54
69,68,52
74,69,54
76,71,56
73,71,56
71,71,57
69,71,57
71,71,52
73,71,52
71,71,52
73,71,57
75,71,59
75,71,55
76,64,54
76,67,52
71,69,54
71,71,55
71,69,54
76,71,55
78,73,57
74,73,57
73,73,59
71,73,59
73,66,57
74,66,57
73,66,57
74,66,57
76,66,55
78,59,55
76,58,55
74,59,55
76,61,55
76,62,55
78,64,55
78,62,55
69,61,55
69,59,55
68,56,55
73,58,55
74,59,54
74,61,54
76,62,54
76,61,54
67,59,52
67,58,52
66,54,52
71,56,52
73,58,66
73,58,50
74,58,50
74,58,52
66,58,54
64,59,54
74,61,54
73,61,54
71,62,55
70,62,55
79,64,55
78,64,55
76,58,54
74,58,54
73,59,54
71,59,54
73,57,54
74,57,54
71,56,54
73,56,54
74,54,54
65,54,54
68,54,54
69,54,54
71,54,47
71,56,47
71,68,47
71,66,47
71,64,45
73,64,45
66,64,45
68,64,45
69,64,45
69,63,45
69,66,57
69,64,56
69,62,54
71,62,53
65,62,49
66,62,51
68,62,53
68,61,53
68,64,54
68,62,47
68,61,49
69,61,49
68,61,50
68,61,50
66,61,47
66,59,47
66,62,49
66,61,49
65,59,37
65,59,37
66,57,37
78,57,37
79,57,42
79,57,42
81,57,54
81,57,54
72,57,55
72,57,57
72,66,55
72,66,57
71,67,59
71,67,60
71,69,54
71,69,55
71,60,57
78,60,57
79,60,51
78,60,54
76,60,55
75,60,55
84,60,57
83,60,57
81,59,51
79,59,51
81,59,51
79,64,51
78,66,52
76,66,52
78,67,52
79,67,52
76,59,54
76,59,55
73,59,54
76,59,55
78,57,57
78,57,59
79,57,52
79,57,54
71,57,55
71,64,55
71,66,49
71,64,52
71,62,54
71,61,54
71,71,55
71,69,55
71,67,49
69,67,49
67,67,50
66,67,45
67,66,47
69,66,47
67,66,48
69,66,48
71,66,40
72,66,40
71,69,40
72,69,40
74,71,40
76,71,40
74,72,40
72,72,40
71,64,40
69,66,40
67,66,40
69,66,40
71,66,40
72,66,40
71,67,40
72,67,40
74,66,40
71,66,38
69,66,38
67,66,43
69,67,59
71,73,60
72,73,62
72,71,62
72,69,53
72,68,53
72,64,52
74,66,57
74,68,59
74,69,59
74,71,60
74,69,60
74,67,52
74,66,52
74,62,50
74,64,55
72,66,57
72,67,57
72,69,59
72,67,59
72,66,50
72,66,48
71,64,59
71,64,57
79,64,55
79,64,54
69,64,64
69,64,62
78,64,60
79,64,59
74,64,57
76,64,55
78,64,57
79,64,59
83,64,57
81,64,59
79,64,61
78,64,61
76,66,61
74,66,61
76,67,62
78,67,62
79,69,62
78,69,62
76,60,57
75,60,57
71,59,57
73,64,57
75,66,57
76,66,57
78,67,57
76,67,57
74,59,57
73,59,57
69,57,57
71,62,57
73,64,55
74,64,55
76,66,55
74,66,55
73,57,54
71,55,51
69,66,52
67,64,54
66,62,55
66,61,57
64,71,55
64,69,54
73,67,52
73,67,50
74,66,49
78,66,50
79,66,52
79,66,54
81,66,55
81,66,54
72,66,52
72,66,51
71,66,47
76,66,49
78,69,51
78,69,52
79,69,54
79,69,52
71,69,50
71,69,49
69,69,45
74,69,47
76,67,49
76,67,50
78,67,52
78,67,50
69,67,49
67,66,49
78,69,47
76,67,47
74,66,55
74,64,55
74,71,57
74,69,57
73,67,45
73,67,45
73,67,45
73,67,45
73,67,45
73,67,45
73,67,45
73,67,45
74,66,38
