0, 0, Header, 1, 13, 480
1, 0, Start_track
1, 0, Text_t, "D. SHOSTAKOVICH - Fugue in C minor  opus 87 no. 20"
1, 0, Tempo, 517241
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 960, Tempo, 560748
1, 1940, Tempo, 517241
1, 3220, Tempo, 560748
1, 3960, Tempo, 519481
1, 4640, Tempo, 533333
1, 5400, Tempo, 555556
1, 6880, Tempo, 535714
1, 7180, Tempo, 517241
1, 7680, Tempo, 526316
1, 17280, Time_signature, 3, 1, 48, 8
1, 20160, Time_signature, 4, 2, 24, 8
1, 22080, Time_signature, 3, 1, 48, 8
1, 24960, Time_signature, 4, 2, 24, 8
1, 42240, Time_signature, 3, 1, 48, 8
1, 45120, Time_signature, 4, 2, 24, 8
1, 47040, Time_signature, 3, 1, 48, 8
1, 49920, Time_signature, 4, 2, 24, 8
1, 69120, Time_signature, 3, 1, 48, 8
1, 72000, Time_signature, 4, 2, 24, 8
1, 73920, Time_signature, 3, 1, 48, 8
1, 79720, Tempo, 530973
1, 79960, Tempo, 533333
1, 80200, Tempo, 535714
1, 80440, Tempo, 538117
1, 80680, Tempo, 540541
1, 80920, Tempo, 542986
1, 81160, Tempo, 545455
1, 81400, Tempo, 547945
1, 81640, Tempo, 550459
1, 81880, Tempo, 552995
1, 82120, Tempo, 555556
1, 82360, Tempo, 558140
1, 82560, Time_signature, 4, 2, 24, 8
1, 82600, Tempo, 560748
1, 82820, Tempo, 563380
1, 83040, Tempo, 517241
1, 89340, Tempo, 558140
1, 90460, Tempo, 517241
1, 99840, Time_signature, 3, 1, 48, 8
1, 102720, Time_signature, 4, 2, 24, 8
1, 104640, Time_signature, 3, 1, 48, 8
1, 105550, Tempo, 515021
1, 106560, Tempo, 579710
1, 106840, Tempo, 582524
1, 107180, Tempo, 736196
1, 107490, Tempo, 740741
1, 107510, Tempo, 638298
1, 107530, Tempo, 515021
1, 114250, Tempo, 515021
1, 114500, Tempo, 517241
1, 114750, Tempo, 519481
1, 115000, Tempo, 521739
1, 115240, Tempo, 524017
1, 115490, Tempo, 526316
1, 115740, Tempo, 528634
1, 115980, Tempo, 530973
1, 116230, Tempo, 533333
1, 116480, Tempo, 535714
1, 116720, Tempo, 538117
1, 116970, Tempo, 540541
1, 117220, Tempo, 542986
1, 117460, Tempo, 545455
1, 117500, Tempo, 521739
1, 117700, Tempo, 524017
1, 117900, Tempo, 526316
1, 118090, Tempo, 528634
1, 118290, Tempo, 530973
1, 118490, Tempo, 533333
1, 118680, Tempo, 535714
1, 118880, Tempo, 538117
1, 119040, Time_signature, 4, 2, 24, 8
1, 119070, Tempo, 540541
1, 119360, Tempo, 519481
1, 119480, Tempo, 521739
1, 126260, Tempo, 519481
1, 126290, Tempo, 521739
1, 126310, Tempo, 524017
1, 126340, Tempo, 526316
1, 126360, Tempo, 528634
1, 126390, Tempo, 530973
1, 126410, Tempo, 533333
1, 126440, Tempo, 535714
1, 126460, Tempo, 538117
1, 126490, Tempo, 540541
1, 126510, Tempo, 542986
1, 126540, Tempo, 545455
1, 126560, Tempo, 547945
1, 126590, Tempo, 550459
1, 126610, Tempo, 552995
1, 126640, Tempo, 555556
1, 126660, Tempo, 558140
1, 126690, Tempo, 560748
1, 126710, Tempo, 563380
1, 126730, Tempo, 512821
1, 136300, Tempo, 512821
1, 136320, Time_signature, 3, 1, 48, 8
1, 139200, Time_signature, 4, 2, 24, 8
1, 139220, Tempo, 517241
1, 141120, Time_signature, 3, 1, 48, 8
1, 143020, Tempo, 533333
1, 144000, Time_signature, 4, 2, 24, 8
1, 144460, Tempo, 530973
1, 145340, Tempo, 528634
1, 145920, Time_signature, 3, 1, 48, 8
1, 146160, Tempo, 526316
1, 146980, Tempo, 524017
1, 147800, Tempo, 521739
1, 148620, Tempo, 519481
1, 148800, Time_signature, 4, 2, 24, 8
1, 149440, Tempo, 517241
1, 150260, Tempo, 515021
1, 150720, Time_signature, 3, 1, 48, 8
1, 151080, Tempo, 512821
1, 151900, Tempo, 510638
1, 152720, Tempo, 508475
1, 153540, Tempo, 506329
1, 153600, Time_signature, 4, 2, 24, 8
1, 155520, Time_signature, 3, 1, 48, 8
1, 160340, Tempo, 510638
1, 160560, Tempo, 512821
1, 161260, Tempo, 519481
1, 161280, Time_signature, 4, 2, 24, 8
1, 163200, Time_signature, 3, 1, 48, 8
1, 168960, Time_signature, 4, 2, 24, 8
1, 170900, Tempo, 533333
1, 171880, Tempo, 535714
1, 172840, Tempo, 538117
1, 173800, Tempo, 540541
1, 174760, Tempo, 542986
1, 175720, Tempo, 545455
1, 176680, Tempo, 547945
1, 177000, Tempo, 510638
1, 183840, Tempo, 550459
1, 184090, Tempo, 582524
1, 184100, Tempo, 594059
1, 184280, Tempo, 588235
1, 184290, Tempo, 591133
1, 184300, Tempo, 508475
1, 190540, Tempo, 528634
1, 192440, Tempo, 508475
1, 193920, Time_signature, 3, 1, 48, 8
1, 196800, Time_signature, 4, 2, 24, 8
1, 198720, Time_signature, 3, 1, 48, 8
1, 199680, Tempo, 510638
1, 199960, Tempo, 512821
1, 200240, Tempo, 515021
1, 200520, Tempo, 517241
1, 200800, Tempo, 519481
1, 201080, Tempo, 521739
1, 201360, Tempo, 524017
1, 201600, Time_signature, 4, 2, 24, 8
1, 201640, Tempo, 526316
1, 201880, Tempo, 510638
1, 202020, Tempo, 508475
1, 214100, Tempo, 528634
1, 215160, Tempo, 512821
1, 216980, Tempo, 526316
1, 218880, Tempo, 512821
1, 220820, Tempo, 526316
1, 222740, Tempo, 510638
1, 226540, Tempo, 510638
1, 226880, Tempo, 512821
1, 227200, Tempo, 515021
1, 227520, Tempo, 517241
1, 227860, Tempo, 519481
1, 228180, Tempo, 521739
1, 228500, Tempo, 524017
1, 230400, Time_signature, 3, 1, 48, 8
1, 233280, Time_signature, 4, 2, 24, 8
1, 235200, Time_signature, 3, 1, 48, 8
1, 239240, Tempo, 517241
1, 239960, Tempo, 519481
1, 240640, Tempo, 521739
1, 240960, Time_signature, 4, 2, 24, 8
1, 241320, Tempo, 524017
1, 242000, Tempo, 526316
1, 242680, Tempo, 528634
1, 243360, Tempo, 530973
1, 244040, Tempo, 533333
1, 244640, Tempo, 533333
1, 244960, Tempo, 555556
1, 245160, Tempo, 552995
1, 245640, Tempo, 555556
1, 246120, Tempo, 558140
1, 246560, Tempo, 560748
1, 247040, Tempo, 563380
1, 247480, Tempo, 566038
1, 247960, Tempo, 568720
1, 248400, Tempo, 571429
1, 248480, Tempo, 736196
1, 248860, Tempo, 845070
1, 249200, Tempo, 574163
1, 249410, Tempo, 576923
1, 249420, Tempo, 515021
1, 249440, Tempo, 517241
1, 250560, Time_signature, 3, 1, 48, 8
1, 252460, Tempo, 517241
1, 253440, Time_signature, 4, 2, 24, 8
1, 255360, Time_signature, 3, 1, 48, 8
1, 255970, Tempo, 524017
1, 258240, Time_signature, 4, 2, 24, 8
1, 258280, Tempo, 528634
1, 258700, Tempo, 530973
1, 259100, Tempo, 533333
1, 259520, Tempo, 535714
1, 259920, Tempo, 538117
1, 260840, Tempo, 638298
1, 261240, Tempo, 641711
1, 261640, Tempo, 645161
1, 262040, Tempo, 648649
1, 262060, Tempo, 718563
1, 262320, Tempo, 722892
1, 262580, Tempo, 727273
1, 262840, Tempo, 731707
1, 263100, Tempo, 736196
1, 263240, Tempo, 923077
1, 263660, Tempo, 1081081
1, 264440, Tempo, 535714
1, 264440, End_track
2, 0, Start_track
2, 0, Title_t, "sop"
2, 0, MIDI_port, 0
2, 0, Channel_prefix, 0
2, 0, Control_c, 0, 7, 127
2, 0, Control_c, 0, 10, 70
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 0, 0
2, 1, Control_c, 0, 93, 14
2, 1, Control_c, 0, 91, 54
2, 24960, Control_c, 0, 121, 0
2, 24960, Control_c, 0, 0, 0
2, 24960, Note_on_c, 0, 72, 74
2, 24961, Control_c, 0, 93, 14
2, 24961, Control_c, 0, 91, 54
2, 25920, Note_off_c, 0, 72, 64
2, 25920, Note_on_c, 0, 70, 74
2, 26400, Note_off_c, 0, 70, 64
2, 26400, Note_on_c, 0, 74, 74
2, 26880, Note_off_c, 0, 74, 64
2, 26880, Note_on_c, 0, 72, 74
2, 28320, Note_off_c, 0, 72, 64
2, 28320, Note_on_c, 0, 72, 74
2, 28800, Note_off_c, 0, 72, 64
2, 28800, Note_on_c, 0, 77, 74
2, 29760, Note_off_c, 0, 77, 64
2, 29760, Note_on_c, 0, 75, 74
2, 30240, Note_off_c, 0, 75, 64
2, 30240, Note_on_c, 0, 74, 74
2, 30720, Note_off_c, 0, 74, 64
2, 30720, Note_on_c, 0, 75, 74
2, 31200, Note_off_c, 0, 75, 64
2, 31200, Note_on_c, 0, 72, 74
2, 31680, Note_off_c, 0, 72, 64
2, 31680, Note_on_c, 0, 74, 74
2, 32160, Note_off_c, 0, 74, 64
2, 32160, Note_on_c, 0, 72, 74
2, 32640, Note_off_c, 0, 72, 64
2, 32640, Note_on_c, 0, 70, 67
2, 33120, Note_off_c, 0, 70, 64
2, 33120, Note_on_c, 0, 72, 67
2, 33600, Note_off_c, 0, 72, 64
2, 33600, Note_on_c, 0, 74, 67
2, 35040, Note_off_c, 0, 74, 64
2, 35040, Note_on_c, 0, 75, 67
2, 35520, Note_off_c, 0, 75, 64
2, 35520, Note_on_c, 0, 74, 67
2, 36480, Note_off_c, 0, 74, 64
2, 36480, Note_on_c, 0, 75, 67
2, 36960, Note_off_c, 0, 75, 64
