0, 0, Header, 1, 13, 480
1, 0, Start_track
1, 0, Text_t, "D. SHOSTAKOVICH - Fugue in E minor  opus 87 no. 4"
1, 0, Tempo, 576923
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 40, Tempo, 579710
1, 15320, Tempo, 582524
1, 15840, Tempo, 585366
1, 16320, Tempo, 588235
1, 16800, Tempo, 591133
1, 17280, Tempo, 594059
1, 17760, Tempo, 597015
1, 18240, Tempo, 600000
1, 18720, Tempo, 603015
1, 19200, Tempo, 582524
1, 36460, Tempo, 579710
1, 36820, Tempo, 582524
1, 37140, Tempo, 585366
1, 37460, Tempo, 588235
1, 37780, Tempo, 591133
1, 38100, Tempo, 594059
1, 38420, Tempo, 597015
1, 38780, Tempo, 600000
1, 39100, Tempo, 603015
1, 39420, Tempo, 606061
1, 39740, Tempo, 609137
1, 40060, Tempo, 612245
1, 40340, Tempo, 588235
1, 44660, Tempo, 585366
1, 44740, Tempo, 591133
1, 45100, Tempo, 594059
1, 45460, Tempo, 597015
1, 45820, Tempo, 600000
1, 46180, Tempo, 603015
1, 46540, Tempo, 606061
1, 46900, Tempo, 609137
1, 47260, Tempo, 612245
1, 47620, Tempo, 615385
1, 47940, Tempo, 618557
1, 47970, Tempo, 585366
1, 55590, Tempo, 582524
1, 73030, Tempo, 579710
1, 75390, Tempo, 576923
1, 87830, Tempo, 701754
1, 88350, Tempo, 697674
1, 88500, Tempo, 394737
1, 88520, Tempo, 392157
1, 89040, Tempo, 393443
1, 89560, Tempo, 394737
1, 90080, Tempo, 396040
1, 90600, Tempo, 397351
1, 91120, Tempo, 398671
1, 91640, Tempo, 400000
1, 92160, Tempo, 401338
1, 92680, Tempo, 402685
1, 93200, Tempo, 404040
1, 93720, Tempo, 405405
1, 94240, Tempo, 406780
1, 94760, Tempo, 408163
1, 95280, Tempo, 409556
1, 95840, Tempo, 396040
1, 96600, Tempo, 397351
1, 97360, Tempo, 398671
1, 98120, Tempo, 400000
1, 98840, Tempo, 401338
1, 99600, Tempo, 402685
1, 100360, Tempo, 404040
1, 101120, Tempo, 405405
1, 101840, Tempo, 406780
1, 102600, Tempo, 408163
1, 103360, Tempo, 409556
1, 104120, Tempo, 410959
1, 104840, Tempo, 412371
1, 104900, Tempo, 404040
1, 104920, Tempo, 398671
1, 104960, Tempo, 396040
1, 105120, Tempo, 398671
1, 105720, Tempo, 400000
1, 106280, Tempo, 401338
1, 106840, Tempo, 402685
1, 107400, Tempo, 404040
1, 107960, Tempo, 405405
1, 108520, Tempo, 406780
1, 109080, Tempo, 408163
1, 109640, Tempo, 409556
1, 110200, Tempo, 410959
